NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1324,10.409683166887385 74.96322168090617 8.66684643471359,232,0,2316.0058460113682,2
1342,20.63408595135468 63.552948068011254 15.63969827902026,106,1,1201.6398027326245,2
1358,28.506908846456582 54.044369243720816 25.46514989167925,160,2,1696.3542619633963,2
1440,16.749578876580237 -14.458546381292775 52.40592536949369,123,3,1400.6850496483753,2
1458,-2.870912427494633 -8.733037882734509 44.79919817561346,96,4,1085.2812010919176,2
1466,-2.8708663449444543 -5.563554727305516 55.57561173702476,90,5,981.9455890543858,2
1503,-3.1877860239001725 -35.31612265733002 30.219253570481342,140,6,1485.9309641332438,2
1534,-2.2369596915014305 -29.59051992172756 30.85317903578212,162,7,1854.3724600545302,2
1588,21.861541961337913 10.304726970920209 48.602564281884085,135,8,1378.467243990596,2
1601,8.569839751233078 24.250597299916098 42.263646920849794,233,9,2501.6840146797194,2
1612,0.9318316583500492 73.06140794530985 16.90767164444156,298,10,3430.1258846155406,2
1636,20.941114667787915 40.09833099589493 40.04497056149956,145,11,1646.7865082499627,2
1677,38.62878497841215 28.688431776035486 -28.100062789587742,95,12,888.9160591674863,3
1686,56.419166864053174 12.840885559037567 -24.930712704909876,141,13,1510.012007828803,3
1720,54.476816918462475 -23.25088666801504 -18.908749358093477,149,14,1592.4770403391149,3
1757,40.57139076409138 31.85796680373619 -26.515297315313443,100,15,980.724472989433,3
1808,49.77352005125645 32.491737762751036 18.17500846551566,107,16,1227.4671271767465,3
1842,28.5070816877988 37.562771221640446 36.55843129702334,146,17,1726.5528258337467,3
1872,35.45949993579322 33.125563072633746 15.956429657312489,124,18,1395.6363267859817,3
1913,36.788252398952395 75.59735276211083 -5.913146594420371,85,19,1042.711543337722,3
1945,38.935629889081596 46.437636533021184 9.30045417817131,118,20,1383.6146583059372,3
1999,34.2328479545801 -23.96679658032683 -0.20840687227201563,90,21,960.3586701384676,3
2047,42.71918559753118 -27.749838884229323 25.14775839844337,159,22,1818.784242588122,3
2075,59.895789084099675 -9.34595411134405 11.835709262759783,253,23,2762.1524933573073,3
2179,35.459766801498645 4.5997409527898565 29.902235424080224,127,24,1443.9649743954026,3
2225,30.449786177661768 24.884660671652355 38.14312860873841,250,25,3092.4152375531908,3
2245,36.789047680127254 -13.12917292517094 31.803867146491957,70,26,769.2860297862902,3
2276,20.94154625306652 -30.306102236996786 37.50904491937651,48,27,657.1827534911503,3
2292,21.554944178012324 -35.315934151582944 22.929185436484413,79,28,813.4210406972061,3
2390,39.6516909993801 -36.6448038437682 -17.957856829639322,153,29,1681.1192994951573,3
2430,25.338047640411514 -88.58429087089178 -13.203699969620999,98,30,921.8254767445426,3
2449,17.056456848174452 -91.1404616886053 -2.427260637376733,112,31,1167.111830334044,3
2458,31.9837539477535 -65.17068040928254 -2.1102878040304818,148,32,1603.0860543556184,3
2466,58.25996313870379 -38.48509615400848 -8.766345853151012,111,33,1190.6424232507568,3
2514,20.634895737078736 -66.39773320292247 13.103516521542236,213,34,2118.0687248932295,3
2545,25.644782551931808 -56.275690672379035 21.344304429823623,70,35,671.3534612777605,3
2565,18.999080728472784 -53.106278941910894 38.4598178358714,75,36,873.227924686536,3
2582,-43.75850298104941 24.25057167326035 -29.050434711836385,99,37,1241.9997360441505,4
2660,-38.05347825948314 76.23074514614326 3.5959032781624973,134,38,1481.5636458798435,4
2676,-57.070479011509924 33.75900143819597 -12.25180837233159,114,39,1337.9408533836488,4
2730,-51.998964067629196 21.714689296087087 19.126446479824253,75,40,765.0964472616557,4
2748,-52.63270063981785 9.036506876972787 33.389275694497556,91,41,1042.0107666763533,4
2781,-48.512731928993716 52.14222876708444 9.93492172901561,167,42,1670.1863672257778,4
2811,-50.09744647376879 40.098028396009575 5.497539232451473,122,43,1404.2547220913248,4
2835,-51.36526230859734 42.63363362534398 7.716228387132311,127,44,1334.477047391196,4
2941,-46.610482422577945 -13.129690359658989 28.95180438577238,102,45,1172.4537405898152,4
2975,-47.56129665490385 -23.25172697130093 25.782237186450768,149,46,1639.6361115135255,4
2988,-40.5883536999966 -16.91263925461995 28.951751113260922,104,47,1201.0531267593178,4
3009,-49.462979653781666 -41.04194627728995 13.104056281000132,156,48,1729.1269096441672,4
3028,-25.69129054880615 -53.10655460880826 36.55837433218332,101,49,1227.143613720215,4
3041,-39.63732253914034 -56.276083493099854 16.273459891770077,64,50,700.4692127318006,4
3059,-59.28916139875512 25.51825581581084 -22.394322457409043,121,51,1385.2083989757643,4
3099,-65.31112141449978 3.9654144501931636 -21.12656674486141,139,52,1664.9407861970883,4
3120,-51.36501393256711 -19.46858598726201 -16.05550757627154,259,53,2715.009136032738,4
3171,-34.88311628210018 -39.81496566334568 19.443030986796778,136,54,1426.360342864637,4
3189,-36.78466752112799 -47.381032460501714 38.14323089692226,135,55,1452.2465713586785,4
3209,-58.020833755249896 -42.268821843728695 -8.765647663354036,273,56,2913.21159121132,4
3250,-43.44069504743354 -83.47263441753856 -1.4759971419437818,112,57,1115.0594262051588,4
3273,-43.757615622936534 -76.52018016127445 11.20215151249885,148,58,1600.1310782512116,4
3282,-49.7800293717202 -51.16387875941089 -12.88612413305857,119,59,1478.0901821474565,4
3297,-57.38686082445221 -59.445591358185546 -15.421735839249147,76,60,800.9997084032864,4
3372,-5.406397406972096 -36.645332684450125 38.46003859021409,415,61,4417.847367869539,5
3438,-21.8885728382976 58.481347819026155 35.29101755297489,243,62,2744.243756801676,5
3451,-23.156458253698588 58.481391569727926 23.24681595178398,238,63,2582.043824567042,5
3462,-29.495658419113617 72.42731696285227 14.372233048197112,166,64,1923.28416580419,5
3489,-27.59351322499489 31.857238035635977 42.26390183602728,262,65,2890.2191638287304,5
3527,-23.789991701068015 14.74182058669731 38.46037256463177,267,66,2997.9957069706297,5
3565,-6.357395478529535 -3.641386171783197 49.87049104653696,110,67,1067.004106035672,5
3582,-27.59324128298782 -2.373714846107264 51.1384364404031,122,68,1233.665947808362,5
3612,0.2982941233525795 -12.515761263933834 -11.618454188390443,168,69,1832.243245634187,6
3654,20.22548444206926 -39.09870071318133 -30.31891173094268,156,70,1774.2899205336616,6
3688,-4.1387821757196654 -47.38064107449501 -4.645612652132142,155,71,1534.6335142652724,6
3712,-5.406559635937546 -62.61479149258167 -14.788163146561505,244,72,2508.7906734721364,6
3741,0.9325389041745534 -68.34035728022285 -14.154321015840125,252,73,2869.0498631649293,6
3751,5.3699314828615 -56.27575673649664 6.764595325486372,523,74,5691.557480451825,6
3771,5.053194208183123 -82.85893888794695 14.3713528715127,390,75,4557.549189012172,6
3812,-32.347878436144605 -24.5805584964751 -27.782903436323068,116,76,1300.115802035025,7
3823,-27.910399842366704 -49.32329118679461 -30.952566627670564,126,77,1356.6040028812151,7
3834,-43.124182234860214 -47.994206686048194 -36.657619763445496,236,78,2403.799757168092,7
3866,-10.794667556776067 -73.96380077884189 -11.618650322709449,164,79,1923.226701630622,7
3887,-11.745575314092424 -63.22831860757785 -8.44906880016385,275,80,2888.055211419869,7
3918,-7.942036255442692 -55.66242649557916 16.273267785864984,236,81,2659.798045451936,7
3945,-29.494659820025355 -75.29322628815738 24.197138567313548,503,82,5426.087130014767,7
