NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1289,6.126533308043957 67.85380859185459 -19.9594004904346,187,0,2278.684947242878,2
1325,21.49645312257905 68.53721674953553 18.321899105546176,92,1,1119.0980595723452,2
1340,18.07850817631699 58.283262399824515 22.081617214575154,103,2,960.6117949935699,2
1369,19.51193218517518 33.67377434232454 34.386181856448815,170,3,1828.305604735811,2
1404,19.842746306352748 16.583891985051856 35.753271733857055,192,4,2141.0989185709404,2
1450,11.573444895466316 26.83773082266835 47.032661436223634,146,5,1318.7692063640259,2
1464,14.660687233799122 10.43145990393533 46.690766394779416,109,6,1182.0863218196234,2
1474,5.443204080047667 4.279049519148352 52.5012989275612,93,7,1127.8139689814743,2
1531,5.101411471968749 -17.573763422450348 22.08119647452104,126,8,1334.1069403722104,2
1551,3.0505512417861986 21.369028806143636 33.70254016225526,148,9,1603.9344313414188,2
1576,-3.101698247023975 -10.076468138483184 52.843027860776225,160,10,1804.6855122424645,2
1593,-0.7090747232572797 -27.166337594669344 52.842924744839465,125,11,1356.369345138328,2
1603,6.81044397925276 -14.817518620961849 54.893770465408544,270,12,2923.713774850578,2
1622,24.914450740226027 23.420274305960955 -36.70776866643998,80,13,879.4325599212106,3
1668,62.84298426617492 16.584349005220588 -25.086751676257055,152,14,1703.175567773831,3
1676,55.67629638503161 11.799083099504873 -10.731272599179837,86,15,923.2362105841607,3
1726,49.17127596836304 -52.41478210405304 -7.313660317132499,68,16,608.6391262062597,3
1736,59.42505399156432 2.9123866080030214 -15.858292282627781,169,17,1787.7014398422698,3
1785,42.9966947827648 15.217058855703314 -16.19999297157707,73,18,782.1298801179635,3
1833,42.004468780737206 15.21671862052988 41.90558616298074,129,19,1447.5106296893098,3
1858,34.837742153232085 -7.319663333225523 4.3077391708077055,57,20,635.4706268236977,3
1905,56.007172486262135 -3.901800521615773 32.335120512846125,55,21,597.4908064285968,3
1938,21.496678342451183 -9.41480651693697 42.589068897364754,166,22,1813.159428580062,3
1983,26.678751102228652 0.8391116491791396 46.0070937594136,174,23,1952.9813000204967,3
1989,39.578851096455345 -7.9813663115688875 33.70231228907136,120,24,1464.989996938854,3
1994,31.75057605047916 5.646332273005112 47.37430563327811,55,25,597.8831276148929,3
2000,21.496653359266276 -2.5788240599065277 37.120349589415646,36,26,387.3745039110825,3
2046,36.16098591070447 -57.92787107980765 26.182482478429677,109,27,1215.2766167886589,3
2087,25.576244530725496 -43.5944170093909 20.030227410290635,106,28,1238.173522094059,3
2106,24.253170336527354 -39.51498819312033 35.069344810882406,144,29,1746.7460996144578,3
2123,19.071099451591145 -38.081740577107915 49.424856936561774,71,30,692.5659319245128,3
2138,27.34036926135717 -28.489332349248865 48.399506909783256,81,31,884.4322370447994,3
2161,47.84812793014612 -26.504335176327565 -5.94631782570382,25,32,237.811282993807,3
2184,16.424938722710085 -70.93816470576364 8.067170744629072,163,33,1732.5037795348323,3
2192,42.666137938014025 -55.17136037714059 15.244969154124265,119,34,1181.2683075041832,3
2218,36.16062280088775 57.60000612543737 -28.50444475651454,132,35,1366.1483701050988,3
2235,43.43769659988086 26.838163086106142 -14.14914039470936,45,36,510.7173710530566,3
2276,44.76067470125045 69.90467713567776 -18.25046240194407,78,37,887.1607042986177,3
2309,35.829884773025505 63.06859347295649 0.8901718846807355,73,38,765.0692569000507,3
2368,44.76078305780699 45.29507434343865 13.194764333003732,129,39,1452.6543122848784,3
2387,31.08896204922783 24.103491569521402 30.968132615456792,90,40,1103.4883634272721,3
2401,39.24798661687384 32.30662402697344 35.75333275717006,85,41,868.1535969039828,3
2412,34.8375885650087 64.43568931922738 16.271068662994388,73,42,755.3422720842876,3
2438,41.01202798997361 48.02944486810987 13.194786103796085,67,43,813.0587830354925,3
2453,35.82999898320659 39.142556688010664 37.12056972504967,109,44,1260.366686765013,3
2496,-73.85392770465549 -6.6581583301181775 -33.97340721768602,201,45,2549.3916605055583,4
2542,-41.0415319151478 63.7521974515313 -32.605859452531824,129,46,1356.356149286318,4
2581,-38.99076006293056 82.89274403419887 -12.097900709019116,264,47,2914.1320488135407,4
2620,-47.87732087716648 7.013700979018112 -16.199898327474827,180,48,2062.300567892212,4
2634,-57.44761007166058 -12.171067879819823 -19.27617238023249,160,49,1761.52402860617,4
2684,-38.990403169076785 -69.50480742630938 -17.909344891356366,210,50,2321.8325057268485,4
2710,-37.62316230846845 -62.00757146052904 27.549764094187992,175,51,1959.7567564399806,4
2766,-33.8634977159342 -5.996967983122581 43.272769315051114,191,52,1900.9659956205576,4
2833,-42.75014573818096 -45.579314271954935 37.803794029723576,133,53,1428.735435498785,4
2866,-41.724796947488066 -20.99199735452183 47.37426583546824,217,54,2526.375937513301,4
2896,-32.49620889674355 -46.35113105030039 44.63972440292898,108,55,1236.8963135010038,4
2908,-22.92593379999195 -23.74836381790036 43.956242798621844,123,56,1580.1859770936187,4
2916,-30.10362419492958 -48.33574519492099 42.93072243673204,137,57,1567.665267360871,4
2948,-52.320505260903445 -51.753579134330316 9.776377703689054,111,58,1168.9703634305765,4
2976,-32.15439360448815 -70.27680707008726 19.688365779029606,138,59,1408.4972525635383,4
2980,-30.10363972469888 -68.84335328400154 1.5731032443641775,105,60,1158.894212640852,4
2993,-35.91417630971928 -67.52037865320798 18.662994846701004,178,61,1879.5487440647662,4
3016,-29.761873142749277 -41.49968414691836 24.131897664448644,198,62,1989.0098372980788,4
3029,-29.761882228690343 -51.091947311321185 3.623990963839595,167,63,1727.6304687035579,4
3059,-11.305211705097898 90.41246656860648 -31.238561251847205,212,64,2393.514728564572,5
3138,-13.355732456837643 19.318235505576126 28.233794880818028,46,65,419.8616598535226,5
3162,-15.406416690080324 -16.250817190578566 37.803921728498196,223,66,2272.0143576567507,5
3183,-11.988360227922891 -41.49980045150194 51.47567141025278,157,67,1610.0526879455929,5
3204,-7.203200553900907 -48.997194311311695 36.43652661018148,160,68,1687.6523900628283,5
3256,-7.886863727068407 -9.414940679899713 53.52663303296295,212,69,2380.825832800103,5
3283,-28.052971062697786 11.114929408216367 50.79240446268948,192,70,2120.533979040425,5
3316,-28.736758691577737 62.38481675672577 5.675434071879497,119,71,1479.37891227411,5
