NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1382,26.578220635436452 32.01850743153309 27.784745359726006,153,0,1664.3043219742754,2
1403,8.162421880977435 32.01852878688974 19.23460337307866,56,1,596.0059273493215,2
1458,4.216368222674721 -23.271489082963452 57.38123841555164,163,2,1822.7941210801698,2
1486,15.121547862643629 -18.60385191304564 53.43500641374316,144,3,1391.8281702551233,2
1497,11.122244059875172 -10.11729979569105 49.48882894798442,62,4,625.0484374687961,2
1515,24.98706960579781 9.656391010263205 42.911855193127245,96,5,1133.8467545653364,2
1534,24.987090159775217 0.4909216447812564 44.884917833145906,144,6,1700.686825860327,2
1559,22.016593422485304 80.03115656049148 13.97322068318376,142,7,1603.5343045147426,2
1568,21.6983919455824 56.35371712610196 14.630779795714224,139,8,1499.2221643201879,2
1586,27.85119094911913 42.54178984836026 31.07333861000204,132,9,1438.178413964676,2
1610,3.558521938561751 -31.75760964107309 -9.047160157795792,92,10,1071.464739818837,2
1620,8.820222762269738 -14.678663213623965 25.153667779992936,90,11,1054.870634145215,2
1663,22.653333292657784 -35.04638419720737 35.01910578875566,143,12,1623.5718456648456,2
1678,13.753091460693764 -49.57955372507006 29.099678046471745,144,13,1519.700976964682,2
1713,23.289570473473354 65.56169225308427 1.4767050273364635,120,14,1235.0359531447325,2
1728,7.504564446206444 79.373571943201 -10.033033995218796,97,15,999.1852351343908,2
1822,60.0999935990323 13.602974457578059 -2.4699437579713144,83,16,837.8697318430656,3
1852,28.59382119461943 15.57580017029 35.67711349722905,134,17,1606.4710628984644,3
1910,62.75205690234796 0.4912873541785257 -3.1277384018341396,124,18,1364.3375043203039,3
1924,59.46350205451274 10.972167696529354 -5.7584909530689945,136,19,1521.8057570592364,3
1946,40.687166311882336 -4.813073401748865 35.01925265755486,109,20,1065.6934644507157,3
1994,22.016821539477593 -23.271316330181502 34.690326170904726,91,21,1046.3544951053595,3
2006,48.96159497005147 -43.63892822745855 31.072751011323543,151,22,1730.7978249325452,3
2035,27.53311470140863 -41.62347356320585 40.28070370255269,102,23,1077.4110057057596,3
2163,44.71829149933473 -71.21994650218238 -5.101263800980429,138,24,1592.7285156883456,3
2173,44.71833021077631 -67.93153519293752 13.972243392524392,43,25,446.98592648305555,3
2199,20.956041376612344 -81.72214980615888 6.737441815365812,145,26,1417.5926489185529,3
2221,27.214885115069077 -65.27962227558007 29.757253881993137,87,27,839.966985547701,3
2229,36.12567522152709 -45.54830906738561 13.314696954578865,216,28,2442.613230297505,3
2239,31.88246423194715 -60.081595813036834 27.4553029383678,68,29,811.2033229768981,3
2289,10.135568075229608 -37.061606220463425 -20.885923980447615,120,30,1252.6714474014773,3
2300,1.5854540004659217 -43.638842239362766 4.106899178424744,111,31,1256.6735769627858,3
2329,33.15513209898901 45.830701359865735 -27.7913773709315,158,32,1702.8743400699384,3
2376,39.73229468981055 49.77666298875239 17.919228173786436,104,33,1185.079490214108,3
2397,42.702546140421475 60.95771932781086 11.342227129704394,119,34,1306.2824581406555,3
2413,38.45925294480104 71.48103323114023 8.053770771255444,109,35,1283.0680279393027,3
2424,50.87085580099595 49.776723471569746 11.342138245874663,60,36,698.4945921286853,3
2447,39.095845949932546 31.360863007044856 21.207647098213364,106,37,1064.8043691536036,3
2457,26.896309046619066 29.38811633392249 -41.93215342169823,96,38,1069.9744057103337,3
2496,50.23434985390436 10.97227284514383 -25.160807730604123,147,39,1705.7193586107353,3
2536,57.87232023274331 -40.350028864826335 -25.49000082858674,179,40,1977.2950637862675,3
2550,53.52286164196643 24.78409844102182 -22.85875858159928,74,41,788.0791875898573,3
2562,48.00657673033842 32.67662805536799 -32.72429188237318,110,42,1199.264904874489,3
2677,-39.19239666238435 12.944935038777796 23.18083433913821,116,43,1404.7503410825668,4
2734,-38.53456219736013 -34.410049579326504 43.24058254326861,76,44,842.5252690548834,4
2756,-24.065072917632726 -18.603792757267918 33.046197455696905,86,45,950.2003831844527,4
2792,-29.98441038055173 -49.57956412807256 18.576477175052876,120,46,1308.743661417836,4
2819,-37.219198789117954 -26.55990470175912 27.126820714315382,106,47,1221.2090045880097,4
2838,-38.534592036664506 -39.7140288150352 26.46903428981941,136,48,1268.3579325738121,4
2855,-21.434207446814682 -20.619438315381036 48.83113389956754,146,49,1639.2496348387856,4
2913,-48.40020334930739 -62.73362145094005 2.4626300907728873,195,50,2280.725954716195,4
2930,-39.85004932022737 -62.73353465676604 -9.04725254887483,114,51,1148.253233929627,4
2996,-54.319570010161904 -54.77752422300716 5.42237242815037,114,52,1234.314952985773,4
3024,-26.367078240759053 -4.176667291104029 29.757760457831083,129,53,1467.9982273614737,4
3049,-41.494292046380224 -16.694364980760998 35.019369892497956,109,54,1232.682987275352,4
3100,-42.15214483149472 53.06501796338571 23.83879717092408,101,55,1339.2347595759154,4
3142,-29.655695186771965 34.64926758619842 22.523240410940346,124,56,1393.837318950356,4
3174,-30.9710638136618 20.83737661475431 31.073340053230865,151,57,1598.1059546307904,4
3209,-33.93093365541889 66.87712230102991 -16.93893316427244,94,58,927.7305492598318,4
3223,-49.38697757642467 48.46124929538015 -6.4157094394245435,119,59,1351.3531994290258,4
3250,-46.75613279069558 58.326750719556586 9.36930022060671,41,60,338.24521959575054,4
3254,-37.877127539314216 58.984549534762785 -3.127138521068994,92,61,1065.0084191529313,4
3266,-21.763250286048375 15.57597136744974 -5.758272951291138,189,62,1972.6939435069971,4
3280,-20.44785830402483 27.414690031571343 -5.758202053133586,88,63,965.6175130585648,4
3341,-51.03117393615237 -12.662917988849289 -22.529894280495235,146,64,1624.0437669153296,4
3387,-50.373418832070506 -27.196173602117348 -12.006684851958084,122,65,1317.4599531244917,4
3413,-41.49456482573205 35.30736289851303 -43.2049380795413,98,66,1104.6300032132738,4
3430,-52.346662158735526 27.41474954842256 -24.173908088507872,126,67,1470.159952908347,4
3436,-45.111898417331055 24.126262521856887 -29.435595861824456,182,68,2031.5373862297615,4
3527,-14.85719018317164 10.313974519859231 51.46213702052844,153,69,1823.7954481742693,5
3605,-17.15911949470118 -10.117381906303667 54.75054520954598,100,70,1078.5652938729338,5
3637,-2.689603832240969 -6.828770802409903 46.20035120003323,118,71,1293.7372498445789,5
3666,-11.56855688187455 -52.868243334972504 47.51549482300275,122,72,1349.2048797680218,5
3705,-21.434207995779122 -40.987023161169624 33.37490412904105,170,73,1936.4616574123738,5
3733,-14.199386692589227 -61.354733032750126 39.6229723730101,190,74,1997.3179465134192,5
3740,-9.26658942183321 -69.31081342527825 33.04584618520243,88,75,984.1569999992876,5
3767,-20.11893037508196 42.54166935025826 36.992810073195635,180,76,1840.6699355483017,5
3791,-14.85727077504546 47.803283621978764 44.88530624647221,114,77,1340.9507899891755,5
3809,-20.776604855344548 24.12588782230072 37.321547171466044,131,78,1473.407953578401,5
3830,-0.7167847764160917 74.11198327408933 -22.200616730271136,66,79,654.2514466287779,5
3902,-21.763230166458797 47.145677320125 26.469537874813902,71,80,833.8244976737201,5
3911,-28.998033664533608 63.588337501611065 24.496539577945647,35,81,368.5194713866968,5
3918,-26.696133417846486 80.03112311390406 5.752003440963052,115,82,1177.891707361507,5
3930,-29.655799554284272 68.19241704273846 2.7922577858763145,164,83,1703.5487619343742,5
3947,1.9142577767852442 -38.97113921654344 -13.651145470220579,220,84,2335.6940048263896,6
4002,6.847104988771981 -80.44900842760032 -23.517012569607285,248,85,2599.1794220166744,6
4027,12.437603940916812 -61.99085050634603 -12.335901210156855,256,86,2918.5306214570055,6
4053,1.5855254271337165 -82.46474589187552 5.750922353969768,301,87,3423.291568948293,6
4071,7.8336062167489 -31.757581652883186 -12.335701600753378,133,88,1408.2509791038055,6
4098,24.98715756900701 -61.99107519985404 27.12645443081889,239,89,2761.4532182971657,6
4114,2.5720454397460943 -75.1450427984392 -5.758896428837498,135,90,1510.0837230856523,6
4123,17.985645701974462 -61.990758666291235 -25.49004310297998,186,91,2004.6756714551736,6
4141,32.83705619126213 -62.733235527659424 -36.671092419790774,167,92,1806.954677344025,6
