NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1279,-1.6735405468731657 46.68189692984784 -19.88570122938504,149,0,1780.8921388258377,2
1384,23.955743547047263 3.035035883870563 35.147136367562695,132,1,1414.7534739769796,2
1391,19.16041031475954 28.97009072840966 38.94258085420131,130,2,1489.2998638806785,2
1415,1.805957220015621 -18.451829177820848 53.49145842136936,128,3,1321.5051375211349,2
1447,24.567940773618165 0.5047535173864265 50.32864264682828,127,4,1416.8768557425417,2
1470,6.23386894723979 -27.32802540419675 19.333029605986304,45,5,509.16755542202986,2
1477,10.692398943395702 -24.165185307682574 16.1702125967669,203,6,2172.4127850136206,2
1493,8.131658377627824 -36.816535052391494 52.226278909024515,112,7,1182.7546024287938,2
1512,2.438573426437177 -36.81653736426949 42.73784564612718,93,8,951.525455834636,2
1555,18.242097866928916 42.25393443422644 26.923911844581006,158,9,1667.7251188269483,2
1580,-1.3573190882193493 75.14717282755828 8.579694083542579,94,10,903.4506779042028,2
1609,22.323074852410574 59.333160186335505 23.76112762493735,149,11,1717.9025581784556,2
1620,35.688471668466654 63.76118643252594 9.21216265211436,272,12,3167.8719043847555,2
1632,23.34337779583012 46.0493560218227 16.802904312641672,127,13,1283.1406982850442,2
1702,40.68795137707223 24.542263413466426 26.291268805183115,243,14,2345.200527882159,3
1786,54.97160945707967 22.012106209909522 9.212035514425521,243,15,2712.7865572094775,3
1813,34.056378705980634 -3.9639323838922667 37.67735346405996,133,16,1516.8730821338927,3
1838,41.7082786959335 9.993312561183266 29.454050721366325,108,17,1246.1609904763018,3
1863,62.8277165288946 -7.738685587020985 -10.397496921702519,66,18,633.5524993069084,3
1887,40.994159773430816 -9.575318508991632 22.812098063443514,102,19,1051.1624294862027,3
1899,48.33999384002062 2.4026105894424132 16.802762173462668,250,20,2830.483564080517,3
1925,40.99385065237104 44.151830375108524 -26.21141876817759,91,21,1038.2722699112612,3
1990,33.75030218761053 -25.389357767494502 -6.6021019430504815,267,22,2813.366215872631,3
2069,41.70847884285646 -61.50661127592196 -16.090639901183586,180,23,2058.3013185037676,3
2085,30.587645201841735 -63.34315961719197 -3.439362957154858,105,24,1020.1857118417389,3
2098,43.54494222159207 -53.2425034211182 -3.4393657984512975,112,25,1254.6913583780834,3
2108,37.219355537775826 -61.50666900297735 2.2536952334785454,74,26,780.757542871794,3
2149,29.36335536640638 -58.956080959911645 19.649197994395905,146,27,1667.6455157880578,3
2179,43.54498079974251 -47.52910261468449 28.821358855797122,89,28,953.2138022275952,3
2201,34.36259898832084 -48.85545648998276 17.751520724522983,45,29,572.0217746382044,3
2230,65.07233265490261 -24.16487666667722 -25.57904870858156,68,30,786.6518916101279,3
2237,61.29729217311958 -9.575122682941576 -30.00695103672691,100,31,1169.2043320344337,3
2243,51.19674049787557 -18.451469360470448 -21.151068777704875,67,32,815.3210328903423,3
2252,55.583950436282095 -22.226499170437332 13.007315844964442,31,33,348.09230451605356,3
2289,42.93277311818847 -30.490731219809295 37.67727911915651,52,34,480.2559007788924,3
2319,32.220057455778296 -42.529873404533895 35.77958388271743,61,35,611.281802255464,3
2372,51.5028299243477 -14.064370363762938 -5.9695484007760795,131,36,1429.3158305722275,3
2402,45.78942818454617 -21.614383097673144 14.272462570599266,113,37,1278.0131893560288,3
2415,59.05265029390515 9.360932950442423 -23.04871315502641,159,38,1763.8918033651669,3
2442,49.87038563251985 -21.002104529047635 -33.802333188291804,87,39,1115.409450822426,3
2544,-43.42236745030949 -14.676973853308093 23.761092776404155,114,40,1242.1601275587357,4
2573,-69.67390416761654 11.890641758505145 -11.029764670030955,131,41,1472.6825594389254,4
2652,-59.23639242870246 -47.5294110933196 -19.253231558060964,199,42,2213.5671021913254,4
2665,-53.85955218461838 -53.85504919135444 -4.071744524940879,99,43,976.1119019809953,4
2695,-37.72916515376571 -57.01782502547292 6.681788716799688,159,44,1725.8723233593291,4
2701,-27.924428035325988 -57.73197868975874 10.477146707358662,75,45,857.4122993629094,4
2707,-31.0872475971914 -55.18134100081075 13.63997264059344,92,46,1016.3412080971938,4
2785,-38.678071785398245 -36.20448892605947 18.06797027177658,221,47,2255.9311153797826,4
2806,-46.26879070733026 -33.653914195484475 42.10538345794969,112,48,1231.5839764028258,4
2838,-34.56635409694909 -43.14229080320128 32.616896488655456,140,49,1805.9806694715942,4
2872,-67.14363093911128 -0.801389523356188 -24.313620289569027,175,50,2052.489141551973,4
2907,-54.492263777309695 -6.412879372272602 19.33319066454191,202,51,2200.49488826408,4
2913,-35.51560406064722 34.66305725630516 -16.09028448879656,86,52,857.0668494310686,4
2976,-47.85039354963192 6.197588553325468 23.12858255543264,216,53,2339.601946741538,4
2999,-56.38995499040359 2.4021464090989966 37.0449777929268,83,54,974.7369795742861,4
3008,-45.32016613210664 15.053467915580901 29.13794471225257,73,55,737.1341413210439,4
3063,-51.645846764014415 26.439581037803585 26.924010866300165,82,56,962.2590971017456,4
3072,-53.543539477089425 23.9093369774952 19.96581639506936,162,57,1819.864688710431,4
3093,-44.0551534063078 39.72344178116024 22.81236693825238,110,58,1080.2264825185496,4
3103,-43.73892665377098 46.049108675856374 6.682023276373803,180,59,1991.9844693573848,4
3130,-63.34834552240673 27.07218828720276 -14.825122099441518,179,60,2132.9722887921293,4
3154,-50.697167701757266 40.988655784453904 -29.37406419859701,233,61,2552.195265952294,4
3256,-24.129387541894797 39.0909276779444 37.677557603054225,303,62,3286.5369829557962,5
3299,-9.264125057905634 38.45839257830203 52.85904081421804,267,63,3114.5804007909323,5
3338,-12.110439845649047 -16.615408500189695 51.59379932865999,93,64,1022.8495734291113,5
3349,-3.2546533235194945 8.727951566262865 54.75665460289377,242,65,2374.4340274749256,5
3390,-3.254508630155732 -32.429431350161174 44.00299369605882,166,66,1804.221152048421,5
3413,-1.989500865222372 -21.002398947326014 6.049235656212596,226,67,2290.5618853223627,5
3429,-37.729648535631746 68.82137948055112 18.06819580468487,362,68,4017.756370252495,5
3452,-36.46445970986711 58.700351368159865 28.82174135459148,163,69,1945.3636474117966,5
3489,23.649674107146385 -34.87777180206391 -40.12794004658987,298,70,3257.299040790879,6
3518,10.386352137375392 -58.34387429420847 -38.86284174629447,394,71,4299.084050095347,6
3524,1.173363217238159 -50.69195738316539 -30.639487305454907,183,72,2093.5229679071435,6
3550,4.336279253480086 -72.83166391669434 -24.313912497018237,338,73,3765.2392117054587,6
3582,15.385692353429343 -55.18111475958636 -4.704442300074453,410,74,4399.063980182584,6
3609,4.652623983547869 -77.93302571614993 -1.8579376549117455,265,75,2953.9046358527744,6
3649,-31.403657662646992 -48.8555938048972 -40.760431129619484,499,76,5398.039968402551,7
3706,-14.640661972433058 -60.894659362797036 -26.21154007695894,324,77,3415.8144191346046,7
3736,-2.3056317433460976 -62.11897950277422 -1.5416085965511759,396,78,4328.069338532879,7
3756,-6.101068969902431 -43.7542791108945 6.049194246441604,193,79,2204.59893433737,7
3761,-2.305682598540426 -45.69276172137075 6.365464251939965,204,80,2264.5758654250244,7
3771,-0.7242135152902631 -62.118985478673444 4.151455126418456,206,81,2112.366392116454,7
3782,-17.170884593160196 -54.56910042627999 2.2538139553632597,141,82,1465.7259465441784,7
1166,25.0 -74.0 -36.0,351,83,4321.867628251398,8
1171,-25.0 -74.0 -34.0,351,84,4191.579983611435,8
1176,28.0 -55.0 -48.0,184,85,1987.8503677780932,8
1181,-28.0 -55.0 -48.0,184,86,2166.5318016501997,8
1238,32.0 -40.0 -60.0,184,87,2006.2036216069432,8
1243,-30.0 -48.0 -60.0,184,88,1902.519332678181,8
1188,-3.1 -16.3 -58.5,48,89,432.82339346449254,9
1191,1.6 -15.7 -57.2,48,90,450.5245227006881,9
1194,-6.1 -14.0 -50.4,48,91,461.76251677616,9
1197,2.2 -12.8 -51.7,48,92,356.8912120733408,9
1200,-8.2 -10.9 -48.2,48,93,427.9945010820773,9
1203,2.39 -9.2 -48.9,48,94,441.47999669431744,9
1206,-8.8 -5.81 -46.1,48,95,435.0756595508468,9
1209,2.7 -3.2 -46.6,48,96,380.21823409987576,9
1212,-8.4 -0.6 -40.7,48,97,384.406812451911,9
1215,0.3 1.3 -41.3,48,98,402.06671984426384,9
1218,-6.8 3.0 -34.6,48,99,416.3993966433155,9
1221,-3.0 1.4 -34.0,48,100,500.79827552332273,9
